Date;Euro
31/05/2023 23:00:00;€ € 82,90
31/05/2023 22:00:00;€ € 94,29
31/05/2023 21:00:00;€ € 99,40
31/05/2023 20:00:00;€ € 101,46
31/05/2023 19:00:00;€ € 80,26
31/05/2023 18:00:00;€ € 74,04
31/05/2023 17:00:00;€ € 66,83
31/05/2023 16:00:00;€ € 22,43
31/05/2023 15:00:00;€ € 1,75
31/05/2023 14:00:00;€ € 0,00
31/05/2023 13:00:00;€ € 0,92
31/05/2023 12:00:00;€ € 12,31
31/05/2023 11:00:00;€ € 46,55
31/05/2023 10:00:00;€ € 66,92
31/05/2023 9:00:00;€ € 86,41
31/05/2023 8:00:00;€ € 92,05
31/05/2023 7:00:00;€ € 106,48
31/05/2023 6:00:00;€ € 77,64
31/05/2023 5:00:00;€ € 72,70
31/05/2023 4:00:00;€ € 61,61
31/05/2023 3:00:00;€ € 62,64
31/05/2023 2:00:00;€ € 74,20
31/05/2023 1:00:00;€ € 73,41
31/05/2023 0:00:00;€ € 85,92
30/05/2023 23:00:00;€ € 89,65
30/05/2023 22:00:00;€ € 96,13
30/05/2023 21:00:00;€ € 102,40
30/05/2023 20:00:00;€ € 119,49
30/05/2023 19:00:00;€ € 108,63
30/05/2023 18:00:00;€ € 86,97
30/05/2023 17:00:00;€ € 79,39
30/05/2023 16:00:00;€ € 53,18
30/05/2023 15:00:00;€ € 51,89
30/05/2023 14:00:00;€ € 54,90
30/05/2023 13:00:00;€ € 57,56
30/05/2023 12:00:00;€ € 64,68
30/05/2023 11:00:00;€ € 70,23
30/05/2023 10:00:00;€ € 82,37
30/05/2023 9:00:00;€ € 90,06
30/05/2023 8:00:00;€ € 108,64
30/05/2023 7:00:00;€ € 111,67
30/05/2023 6:00:00;€ € 75,47
30/05/2023 5:00:00;€ € 75,91
30/05/2023 4:00:00;€ € 51,06
30/05/2023 3:00:00;€ € 52,78
30/05/2023 2:00:00;€ € 68,90
30/05/2023 1:00:00;€ € 71,05
30/05/2023 0:00:00;€ € 75,02
29/05/2023 23:00:00;€ € 74,24
29/05/2023 22:00:00;€ € 79,75
29/05/2023 21:00:00;€ € 80,33
29/05/2023 20:00:00;€ € 84,59
29/05/2023 19:00:00;€ € 72,89
