"","Consumptieprijsindex  (CPI)","Gezondheidsindex","Jaargemiddelde CPI"
"01/2007","1,66%","2,04%",""
"02/2007","1,77%","2,08%","1,82%"
"03/2007","1,82%","1,94%","1,82%"
"04/2007","1,78%","1,91%","1,82%"
"05/2007","1,28%","1,34%","1,82%"
"06/2007","1,29%","1,30%","1,82%"
"07/2007","1,37%","1,39%","1,82%"
"08/2007","1,12%","1,24%","1,82%"
"09/2007","1,51%","1,29%","1,82%"
"10/2007","2,24%","1,79%","1,82%"
"11/2007","2,94%","2,25%","1,82%"
"12/2007","3,09%","2,64%","1,82%"
"01/2008","3,46%","2,79%",""
"02/2008","3,64%","3,08%","4,49%"
"03/2008","4,39%","3,89%","4,49%"
"04/2008","4,15%","3,70%","4,49%"
"05/2008","5,21%","4,61%","4,49%"
"06/2008","5,80%","5,07%","4,49%"
"07/2008","5,91%","5,22%","4,49%"
"08/2008","5,39%","4,93%","4,49%"
"09/2008","5,46%","5,15%","4,49%"
"10/2008","4,72%","4,80%","4,49%"
"11/2008","3,14%","3,89%","4,49%"
"12/2008","2,63%","3,54%","4,49%"
"01/2009","2,32%","3,34%",""
"02/2009","1,93%","2,80%","-0,05%"
"03/2009","0,62%","1,60%","-0,05%"
"04/2009","0,60%","1,53%","-0,05%"
"05/2009","-0,37%","0,69%","-0,05%"
"06/2009","-1,10%","-0,11%","-0,05%"
"07/2009","-1,68%","-0,67%","-0,05%"
"08/2009","-0,78%","-0,20%","-0,05%"
"09/2009","-1,19%","-0,62%","-0,05%"
"10/2009","-0,97%","-0,58%","-0,05%"
"11/2009","-0,12%","-0,31%","-0,05%"
"12/2009","0,26%","-0,25%","-0,05%"
"01/2010","0,62%","-0,08%",""
"02/2010","0,70%","0,13%","2,19%"
"03/2010","1,66%","0,94%","2,19%"
"04/2010","1,80%","1,05%","2,19%"
"05/2010","2,27%","1,59%","2,19%"
"06/2010","2,46%","2,03%","2,19%"
"07/2010","2,57%","2,15%","2,19%"
"08/2010","2,32%","2,06%","2,19%"
"09/2010","2,91%","2,56%","2,19%"
"10/2010","3,01%","2,55%","2,19%"
"11/2010","2,86%","2,53%","2,19%"
"12/2010","3,10%","2,60%","2,19%"
"01/2011","3,22%","2,71%",""
"02/2011","3,39%","2,82%","3,53%"
"03/2011","3,52%","2,93%","3,53%"
"04/2011","3,41%","2,88%","3,53%"
"05/2011","3,35%","2,89%","3,53%"
"06/2011","3,67%","3,27%","3,53%"
"07/2011","3,75%","3,32%","3,53%"
"08/2011","3,60%","3,14%","3,53%"
"09/2011","3,55%","3,04%","3,53%"
"10/2011","3,57%","3,08%","3,53%"
"11/2011","3,85%","3,39%","3,53%"
"12/2011","3,49%","3,23%","3,53%"
"01/2012","3,65%","3,38%",""
"02/2012","3,66%","3,41%","2,84%"
"03/2012","3,37%","3,14%","2,84%"
"04/2012","3,18%","2,96%","2,84%"
"05/2012","2,81%","2,73%","2,84%"
"06/2012","2,26%","2,21%","2,84%"
"07/2012","2,32%","2,23%","2,84%"
"08/2012","2,86%","2,56%","2,84%"
"09/2012","2,76%","2,39%","2,84%"
"10/2012","2,79%","2,49%","2,84%"
"11/2012","2,26%","2,17%","2,84%"
"12/2012","2,23%","2,16%","2,84%"
"01/2013","1,46%","1,48%",""
"02/2013","1,19%","1,09%","1,11%"
"03/2013","1,11%","1,25%","1,11%"
"04/2013","1,00%","1,26%","1,11%"
"05/2013","1,18%","1,39%","1,11%"
"06/2013","1,59%","1,69%","1,11%"
"07/2013","1,51%","1,55%","1,11%"
"08/2013","1,01%","1,19%","1,11%"
"09/2013","0,89%","1,08%","1,11%"
"10/2013","0,63%","0,93%","1,11%"
"11/2013","0,81%","0,98%","1,11%"
"12/2013","0,97%","1,01%","1,11%"
"01/2014","1,14%","1,25%",""
"02/2014","0,97%","1,17%","0,34%"
"03/2014","0,89%","1,02%","0,34%"
"04/2014","0,62%","0,67%","0,34%"
"05/2014","0,36%","0,26%","0,34%"
"06/2014","0,27%","0,14%","0,34%"
"07/2014","0,34%","0,22%","0,34%"
"08/2014","0,02%","0,02%","0,34%"
"09/2014","-0,12%","0,03%","0,34%"
"10/2014","0,09%","0,10%","0,34%"
"11/2014","-0,11%","-0,01%","0,34%"
"12/2014","-0,38%","-0,01%","0,34%"
"01/2015","-0,65%","0,01%",""
"02/2015","-0,40%","0,14%","0,56%"
"03/2015","-0,40%","-0,06%","0,56%"
"04/2015","0,29%","0,68%","0,56%"
