Delivery Day;Calculation Day;Hub;Value;Unit;
2023-05-10;2023-05-09;CEGH VTP;38.743;EUR/MWh;
2023-05-10;2023-05-09;CZ VTP;38.177;EUR/MWh;
2023-05-10;2023-05-09;ETF;39.234;EUR/MWh;
2023-05-10;2023-05-09;PEG;34.416;EUR/MWh;
2023-05-10;2023-05-09;PVB;34.440;EUR/MWh;
2023-05-10;2023-05-09;THE;36.709;EUR/MWh;
2023-05-10;2023-05-09;TTF;36.172;EUR/MWh;
2023-05-10;2023-05-09;ZTP;35.040;EUR/MWh;
2023-05-11;2023-05-10;CEGH VTP;37.693;EUR/MWh;
2023-05-11;2023-05-10;CZ VTP;37.546;EUR/MWh;
2023-05-11;2023-05-10;ETF;38.917;EUR/MWh;
2023-05-11;2023-05-10;PEG;33.735;EUR/MWh;
2023-05-11;2023-05-10;PVB;33.000;EUR/MWh;
2023-05-11;2023-05-10;THE;35.959;EUR/MWh;
2023-05-11;2023-05-10;TTF;35.538;EUR/MWh;
2023-05-11;2023-05-10;ZTP;34.410;EUR/MWh;
2023-05-12;2023-05-11;CEGH VTP;36.696;EUR/MWh;
2023-05-12;2023-05-11;CZ VTP;36.423;EUR/MWh;
2023-05-12;2023-05-11;ETF;36.527;EUR/MWh;
2023-05-12;2023-05-11;PEG;33.284;EUR/MWh;
2023-05-12;2023-05-11;PVB;30.000;EUR/MWh;
2023-05-12;2023-05-11;THE;35.004;EUR/MWh;
2023-05-12;2023-05-11;TTF;34.451;EUR/MWh;
2023-05-12;2023-05-11;ZTP;33.768;EUR/MWh;
2023-05-13;2023-05-12;CEGH VTP;34.689;EUR/MWh;
2023-05-13;2023-05-12;CZ VTP;35.384;EUR/MWh;
2023-05-13;2023-05-12;ETF;33.236;EUR/MWh;
2023-05-13;2023-05-12;PEG;31.121;EUR/MWh;
2023-05-13;2023-05-12;PVB;27.000;EUR/MWh;
2023-05-13;2023-05-12;THE;33.430;EUR/MWh;
2023-05-13;2023-05-12;TTF;32.437;EUR/MWh;
2023-05-13;2023-05-12;ZTP;31.290;EUR/MWh;
2023-05-14;2023-05-12;CEGH VTP;34.689;EUR/MWh;
2023-05-14;2023-05-12;CZ VTP;35.384;EUR/MWh;
2023-05-14;2023-05-12;ETF;33.236;EUR/MWh;
2023-05-14;2023-05-12;PEG;31.121;EUR/MWh;
2023-05-14;2023-05-12;PVB;27.000;EUR/MWh;
2023-05-14;2023-05-12;THE;33.430;EUR/MWh;
2023-05-14;2023-05-12;TTF;32.437;EUR/MWh;
2023-05-14;2023-05-12;ZTP;31.290;EUR/MWh;
2023-05-15;2023-05-12;CEGH VTP;35.185;EUR/MWh;
2023-05-15;2023-05-12;CZ VTP;35.484;EUR/MWh;
2023-05-15;2023-05-12;ETF;33.435;EUR/MWh;
2023-05-15;2023-05-12;PEG;31.029;EUR/MWh;
2023-05-15;2023-05-12;PVB;28.000;EUR/MWh;
2023-05-15;2023-05-12;THE;33.497;EUR/MWh;
2023-05-15;2023-05-12;TTF;32.803;EUR/MWh;
2023-05-15;2023-05-12;ZTP;31.240;EUR/MWh;
2023-05-16;2023-05-15;CEGH VTP;34.245;EUR/MWh;
2023-05-16;2023-05-15;CZ VTP;34.219;EUR/MWh;
2023-05-16;2023-05-15;ETF;34.060;EUR/MWh;
2023-05-16;2023-05-15;PEG;29.845;EUR/MWh;
2023-05-16;2023-05-15;PVB;26.500;EUR/MWh;
2023-05-16;2023-05-15;THE;32.632;EUR/MWh;
2023-05-16;2023-05-15;TTF;31.916;EUR/MWh;
2023-05-16;2023-05-15;ZTP;30.956;EUR/MWh;
2023-05-17;2023-05-16;CEGH VTP;33.884;EUR/MWh;
2023-05-17;2023-05-16;CZ VTP;34.217;EUR/MWh;
2023-05-17;2023-05-16;ETF;33.414;EUR/MWh;
2023-05-17;2023-05-16;PEG;29.975;EUR/MWh;
2023-05-17;2023-05-16;PVB;28.500;EUR/MWh;
2023-05-17;2023-05-16;THE;32.536;EUR/MWh;
2023-05-17;2023-05-16;TTF;31.906;EUR/MWh;
2023-05-17;2023-05-16;ZTP;30.626;EUR/MWh;
2023-05-18;2023-05-17;CEGH VTP;34.638;EUR/MWh;
2023-05-18;2023-05-17;CZ VTP;34.261;EUR/MWh;
2023-05-18;2023-05-17;ETF;33.398;EUR/MWh;
2023-05-18;2023-05-17;PEG;29.613;EUR/MWh;
2023-05-18;2023-05-17;PVB;25.950;EUR/MWh;
2023-05-18;2023-05-17;THE;32.597;EUR/MWh;
2023-05-18;2023-05-17;TTF;31.878;EUR/MWh;
2023-05-18;2023-05-17;ZTP;29.814;EUR/MWh;
2023-05-19;2023-05-18;CEGH VTP;32.413;EUR/MWh;
2023-05-19;2023-05-18;CZ VTP;32.545;EUR/MWh;
2023-05-19;2023-05-18;ETF;31.317;EUR/MWh;
2023-05-19;2023-05-18;PEG;27.953;EUR/MWh;
2023-05-19;2023-05-18;PVB;26.600;EUR/MWh;
2023-05-19;2023-05-18;THE;30.587;EUR/MWh;
2023-05-19;2023-05-18;TTF;29.926;EUR/MWh;
2023-05-19;2023-05-18;ZTP;28.001;EUR/MWh;
2023-05-20;2023-05-19;CEGH VTP;31.349;EUR/MWh;
2023-05-20;2023-05-19;CZ VTP;31.525;EUR/MWh;
2023-05-20;2023-05-19;ETF;29.910;EUR/MWh;
2023-05-20;2023-05-19;PEG;26.184;EUR/MWh;
